Research,3095,-Lou7XgUe8GBZexvWe95
Reservoir,3073,-Lou7XgUe8GBZexvWe96
Richmond,3121,-Lou7XgUe8GBZexvWe97
Ringwood,3134,-Lou7XgUe8GBZexvWe98
Ringwood East,3135,-Lou7XgUe8GBZexvWe99
Ringwood North,3134,-Lou7XgUe8GBZexvWe9A
Ripponlea,3185,-Lou7XgUe8GBZexvWe9B
Rockbank,3335,-Lou7XgUe8GBZexvWe9C
Rosanna,3084,-Lou7XgUe8GBZexvWe9D
Rosebud,3939,-Lou7XgUe8GBZexvWe9E
Rowville,3178,-Lou7XgUe8GBZexvWe9F
Roxburgh Park,3064,-Lou7XgUe8GBZexvWe9G
Rye,3941,-Lou7XgV9uKtKpbeVskJ
Rythdale,3810,-Lou7XgV9uKtKpbeVskK
Safety Beach,3936,-Lou7XgV9uKtKpbeVskL
Sandhurst,3977,-Lou7XgV9uKtKpbeVskM
Sandringham,3191,-Lou7XgV9uKtKpbeVskN
Sassafras,3787,-Lou7XgV9uKtKpbeVskO
Sassafras,3787,-Lou7XgV9uKtKpbeVskP
Scoresby,3179,-Lou7XgV9uKtKpbeVskQ
Seabrook,3028,-Lou7XgV9uKtKpbeVskR
Seaford,3198,-Lou7XgV9uKtKpbeVskS
Seaholme,3018,-Lou7XgV9uKtKpbeVskT
Seddon,3011,-Lou7XgV9uKtKpbeVskU
Selby,3159,-Lou7XgV9uKtKpbeVskV
Seville,3139,-Lou7XgV9uKtKpbeVskW
Seville East,3139,-Lou7XgV9uKtKpbeVskX
Sherbrooke,3789,-Lou7XgV9uKtKpbeVskY
Shoreham,3916,-Lou7XgV9uKtKpbeVskZ
Silvan,3795,-Lou7XgV9uKtKpbeVsk_
Skye,3977,-Lou7XgV9uKtKpbeVska
Smiths Gully,3760,-Lou7XgV9uKtKpbeVskb
Somers,3927,-Lou7XgW1df3oGzOEASd
Somerton,3062,-Lou7XgW1df3oGzOEASe
Somerville,3912,-Lou7XgW1df3oGzOEASf
Sorrento,3943,-Lou7XgW1df3oGzOEASg
South Kingsville,3015,-Lou7XgW1df3oGzOEASh
South Melbourne,3205,-Lou7XgW1df3oGzOEASi
South Morang,3752,-Lou7XgW1df3oGzOEASj
South Wharf,3006,-Lou7XgW1df3oGzOEASk
South Yarra,3141,-Lou7XgW1df3oGzOEASl
Southbank,3006,-Lou7XgW1df3oGzOEASm
Spotswood,3015,-Lou7XgW1df3oGzOEASn
Springvale,3171,-Lou7XgW1df3oGzOEASo
Springvale South,3172,-Lou7XgW1df3oGzOEASp
St Albans,3021,-Lou7XgW1df3oGzOEASq
St Andrews,3761,-Lou7XgW1df3oGzOEASr
St Andrews Beach,3941,-Lou7XgW1df3oGzOEASs
St Helena,3088,-Lou7XgW1df3oGzOEASt
St Kilda,3182,-Lou7XgW1df3oGzOEASu
St Kilda East,3183,-Lou7XgW1df3oGzOEASv
St Kilda West,3182,-Lou7XgW1df3oGzOEASw
Steels Creek,3775,-Lou7XgW1df3oGzOEASx
Strathewen,3099,-Lou7XgW1df3oGzOEASy
Strathmore,3041,-Lou7XgW1df3oGzOEASz
Strathmore Heights,3041,-Lou7XgW1df3oGzOEAT-
Strathtulloh,3338,-Lou7XgW1df3oGzOEAT0
